Timestamp,Device ID,Channel,Sensor Name,Sensor ID,Data Type,Unit,Value
2020-10-14T09:42:11.958Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,1,Channel 1,0b2ee170-0e01-11eb-8779-7d56e82df461,,,51
2020-10-14T09:42:16.917Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,0,Channel 0,0a270e60-0e01-11eb-8779-7d56e82df461,temp,c,22.399999618530273
2020-10-14T09:42:17.095Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,1,Channel 1,0b2ee170-0e01-11eb-8779-7d56e82df461,,,51
2020-10-14T09:42:21.840Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,0,Channel 0,0a270e60-0e01-11eb-8779-7d56e82df461,temp,c,22.399999618530273
2020-10-14T09:42:21.925Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,1,Channel 1,0b2ee170-0e01-11eb-8779-7d56e82df461,,,51
2020-10-14T09:42:26.882Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,0,Channel 0,0a270e60-0e01-11eb-8779-7d56e82df461,temp,c,22.399999618530273
2020-10-14T09:42:27.070Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,1,Channel 1,0b2ee170-0e01-11eb-8779-7d56e82df461,,,51
2020-10-14T09:42:31.829Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,0,Channel 0,0a270e60-0e01-11eb-8779-7d56e82df461,temp,c,22.399999618530273
2020-10-14T09:42:32.055Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,1,Channel 1,0b2ee170-0e01-11eb-8779-7d56e82df461,,,51
2020-10-14T09:42:36.838Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,0,Channel 0,0a270e60-0e01-11eb-8779-7d56e82df461,temp,c,22.399999618530273
2020-10-14T09:42:37.169Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,1,Channel 1,0b2ee170-0e01-11eb-8779-7d56e82df461,,,51
